City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Bad Orb,DE,66.81,scattered clouds,50.2279,9.3478,Hotel an der Therme Bad Orb
293,Sunnyside,US,72.84,broken clouds,46.3237,-120.0087,Rodeway Inn
296,Contamana,PE,75.92,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
300,Portsmouth,GB,67.51,scattered clouds,50.799,-1.0913,Royal Beach Hotel
301,Zhezkazgan,KZ,68.41,broken clouds,47.8043,67.7144,Hotel Zumrat
302,Inhambane,MZ,71.58,scattered clouds,-23.865,35.3833,Oceano
305,Nabire,ID,75.02,few clouds,-3.3667,135.4833,Hotel Nusantara I
307,Gezing,AT,71.85,few clouds,47.9178,13.1299,Landhaus Brieger
310,Robertsport,LR,79.79,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
314,Fare,PF,79.74,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
319,Fort-Shevchenko,KZ,73.22,clear sky,44.5086,50.263,Oasis hotel Bautino
322,Avon Park,US,78.78,light rain,27.5959,-81.5062,Econo Lodge Sebring
324,Eureka,US,77.18,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
326,Ugoofaaru,MV,83.14,overcast clouds,5.6667,73.0,Ungoofaaru Inn
329,Marsa Matruh,EG,73.6,clear sky,31.3525,27.2453,Beau Site
332,Saint-Pierre,RE,68.92,clear sky,-21.3393,55.4781,Alize Plage
333,Jonkoping,SE,65.91,clear sky,57.7814,14.1562,Scandic Portalen
334,Palmer,US,77.07,broken clouds,42.1584,-72.3287,Wedgewood Motel
336,Talara,PE,72.36,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
337,Poshtove,UA,67.51,overcast clouds,44.8311,33.9545,Yayla Hotel
338,Lorengau,PG,80.69,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
339,Kenora,CA,72.57,few clouds,49.8167,-94.4337,Maynard Lake Lodge
341,Harper,LR,75.54,moderate rain,4.375,-7.7169,Screensaver
342,Tiznit,MA,77.2,clear sky,29.5833,-9.5,
346,Georgetown,MY,76.98,scattered clouds,5.4112,100.3354,Cititel Penang
348,Poum,NC,75.6,overcast clouds,-20.2333,164.0167,
349,Sanok,PL,66.06,clear sky,49.5557,22.2056,Jagielloński Hotel i Restauracja
350,Jiazi,CN,78.64,overcast clouds,22.8779,116.067,Hotel Jin Hao
352,Miri,MY,78.94,thunderstorm,4.4148,114.0089,"Mega Hotel, Miri"
355,Faanui,PF,79.9,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Navalgund,IN,74.48,overcast clouds,15.5667,75.3667,Naveen Park Hotel
360,Sarangani,PH,83.79,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
363,Pacasmayo,PE,68.97,scattered clouds,-7.4006,-79.5714,Hotel Libertad
366,Colonia,DE,75.43,broken clouds,50.9333,6.95,Mauritius Hotel & Therme
370,Farah,AF,84.0,clear sky,32.5,62.5,
372,Ampanihy,MG,65.97,clear sky,-24.7,44.75,Angora Hotel
376,Basco,PH,84.11,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
377,Oyem,GA,73.27,overcast clouds,1.5995,11.5793,Commissariat de police
378,Salinopolis,BR,82.35,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
379,Banepa,NP,70.12,few clouds,27.6298,85.5214,Dhulikhel Lodge Resort
380,Nalut,LY,81.95,clear sky,30.3333,10.85,
381,Oga,IT,65.08,clear sky,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
382,Krasnogvardeyskoye,RU,75.43,broken clouds,45.8456,41.5186,Staraya Mel'nitsa Gostinitsa
383,Ailigandi,PA,80.55,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
384,Boo,SE,67.68,few clouds,59.3333,18.2833,Yasuragi
385,Krzeszowice,PL,67.95,few clouds,50.1425,19.6322,Pozytywka Apartament & Spa
386,Obuasi,GH,71.71,moderate rain,6.206,-1.6619,Mawuli Hotel
387,Neepawa,CA,73.8,broken clouds,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
388,Dorado,PR,84.09,broken clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
392,Tumarbong,PH,79.81,broken clouds,10.3766,119.4579,Rufino’s Place
393,Fomboni,KM,79.52,clear sky,-12.28,43.7425,Auberge les abou
394,Anastacio,BR,71.83,overcast clouds,-20.4836,-55.8069,HOTEL ARARAS
